References,DOIS,Iteration,Status
"Héctor Cadavid, V. Andrikopoulos, P. Avgeriou, ""Documentation-as-code for Interface Control Document Management in Systems of Systems: a Technical Action Research Study"", ECSA, 2022.",https://doi.org/10.48550/arXiv.2206.11668,1.0,Extraction successful
"Denis de Gois Marques, Tamara Dallegrave, Luis E. L. Barbosa, Cleyton Rodrigues, W. Santos, ""Industry-Academy Collaboration in Agile Methodology: a Systematic Literature Review"", 2022 17th Iberian Conference on Information Systems and Technologies (CISTI), 2022.",https://doi.org/10.23919/cisti54924.2022.9820166,1.0,Abstract not found
"Marcel Altendeitering, Julia Pampus, F. Larrinaga, Jon Legaristi, Falk Howar, ""Data Sovereignty for AI Pipelines: Lessons Learned from an Industrial Project at Mondragon Corporation"", 2022 IEEE/ACM 1st International Conference on AI Engineering – Software Engineering for AI (CAIN), 2022.",https://doi.org/10.1145/3522664.3528593,1.0,Extraction successful
"C. Wohlin, M. Kalinowski, K. Felizardo, E. Mendes, ""Successful combination of database search and snowballing for identification of primary studies in systematic literature studies"", Inf. Softw. Technol., 2022.",https://doi.org/10.1016/j.infsof.2022.106908,1.0,Abstract not found
"R. Deckers, Dennis van den, Brand, P. Lago, ""Specifying Features in Terms of Domain Models: MuDForM Method Definition and Case Study"", , 2022.",https://doi.org/10.5220/0011108900003179,1.0,Abstract not found
"R. Figueiredo, J. L. Gardenghi, L. Santos, Rafael Furtado, Rafael Barbosa, Lucas Boaventura, Augusto Modesto, Laura Martins, ""The Design of a Public Service Cost Model Tool to Evaluate Digital Transformation in Brazilian Government"", ICEIS, 2022.",https://doi.org/10.1016/J.INFSOF.2021.106717,1.0,Abstract not found
"Mohsin Irshad, J. Börstler, K. Petersen, ""Supporting refactoring of BDD specifications - An empirical study"", Inf. Softw. Technol., 2022.",https://doi.org/10.1016/J.INFSOF.2021.106678,1.0,Abstract not found
"C. Wohlin, P. Runeson, ""Guiding the selection of research methodology in industry-academia collaboration in software engineering"", Inf. Softw. Technol., 2021.",https://doi.org/10.1016/j.trip.2021.100455,1.0,Abstract not found
"Patrick Ebel, J. Orlovska, Sebastian Hünemeyer, C. Wickman, Andreas Vogelsang, R. Söderberg, ""Automotive UX design and data-driven development: Narrowing the gap to support practitioners"", Transportation Research Interdisciplinary Perspectives, 2021.",https://doi.org/10.1365/s40702-021-00764-6,1.0,Extraction successful
"Carolin Vollenberg, J. Koch, Michael Trampler, Friederike-Maria Bade, A. Coners, Ralf Plattfaut, ""Die Entwicklungsbeschleunigung von Robotic Process Automation Lösungen – Fallstudie einer deutschen Gesundheitsbehörde"", HMD Praxis der Wirtschaftsinformatik, 2021.",https://doi.org/10.1145/3463274.3463338,1.0,Abstract not found
"L. Martins, V. Brito, Daniel Feitosa, Larissa Rocha, H. Costa, I. Machado, ""From Blackboard to the Office: A Look Into How Practitioners Perceive Software Testing Education"", EASE, 2021.",https://doi.org/10.1145/3464327.3464367,1.0,Abstract not found
"Alisa Burova, Hanna Heinonen, Paulina Becerril Palma, Tuuli Keskinen, Jaakko Hakulinen, Viveka Opas, John Mäkelä, K. Ronkainen, S. Siltanen, R. Raisamo, M. Turunen, ""Toward Efficient Academia-Industry Collaboration: A Case Study of Joint VR System Development"", MindTrek, 2021.",https://doi.org/10.1109/ICSE-SEET52601.2021.00025,1.0,Abstract not found
