References,DOIS,Iteration,Status
"Amar Gupta, Nathan Denny, Kate O'Toole, R. Bondade, D. Halder, ""Global software development using the 24-Hour Knowledge Factory paradigm"", Int. J. Comput. Appl. Technol., 2011.",https://doi.org/10.1504/IJCAT.2011.039140,1,Extraction successful
"E. Carmel, J. Espinosa, Y. Dubinsky, """"Follow the Sun"" Workflow in Global Software Development"", J. Manag. Inf. Syst., 2010.",https://doi.org/10.2753/MIS0742-1222270102,1,Extraction successful
"D. Falessi, M. Babar, G. Cantone, Philippe B Kruchten, ""Applying empirical software engineering to software architecture: challenges and lessons learned"", Empirical Software Engineering, 2010.",https://doi.org/10.1007/s10664-009-9121-0,1,Extraction successful
"Dag I.K. Sjøberg, T. Dybå, M. Jørgensen, ""The Future of Empirical Methods in Software Engineering Research"", Future of Software Engineering (FOSE '07), 2007.",https://doi.org/10.1109/FOSE.2007.30,1,Extraction successful
"C. Zannier, Grigori Melnik, F. Maurer, ""On the success of empirical studies in the international conference on software engineering"", ICSE, 2006.",https://doi.org/10.1145/1134285.1134333,1,Abstract not found
"L. Waxman, ""The Coffee Shop: Social and Physical factors Influencing Place Attachment"", , 2006.",https://doi.org/10.1111/J.1939-1668.2006.TB00530.X,1,Abstract not found
"F. Shull, C. Seaman, M. Zelkowitz, ""Victor R. Basili's contributions to software quality"", IEEE Software, 2006.",https://doi.org/10.1109/MS.2006.33,1,Extraction successful
"S. Vegas, V. Basili, ""A Characterisation Schema for Software Testing Techniques"", Empirical Software Engineering, 2005.",https://doi.org/10.1007/s10664-005-3862-1,1,Extraction successful
"Siw Elisabeth Hove, Bente Anda, ""Experiences from conducting semi-structured interviews in empirical software engineering research"", 11th IEEE International Software Metrics Symposium (METRICS'05), 2005.",https://doi.org/10.1109/METRICS.2005.24,1,Extraction successful
"T. Lethbridge, S. Sim, J. Singer, ""Studying Software Engineers: Data Collection Techniques for Software Field Studies"", Empirical Software Engineering, 2005.",https://doi.org/10.1007/s10664-005-1290-x,1,Extraction successful
"B. Kitchenham, T. Dybå, M. Jørgensen, ""Evidence-based software engineering"", Proceedings. 26th International Conference on Software Engineering, 2004.",https://doi.org/10.1109/ICSE.2004.1317449,1,Extraction successful
"M. Ciolkowski, O. Laitenberger, S. Vegas, S. Biffl, ""Practical Experiences in the Design and Conduct of Surveys in Empirical Software Engineering"", ESERNET, 2003.",https://doi.org/10.1007/978-3-540-45143-3_7,1,Extraction successful
"D. R. Jeffery, L. Scott, ""Has twenty-five years of empirical software engineering made a difference?"", Ninth Asia-Pacific Software Engineering Conference, 2002., 2002.",https://doi.org/10.1109/APSEC.2002.1183076,1,Extraction successful
"B. Kitchenham, S. Pfleeger, L. Pickard, Peter W. Jones, D. Hoaglin, K. Emam, J. Rosenberg, ""Preliminary Guidelines for Empirical Research in Software Engineering"", IEEE Trans. Software Eng., 2002.",https://doi.org/10.1109/TSE.2002.1027796,1,Extraction successful
"B. Kitchenham, S. Pfleeger, ""Principles of survey research part 2: designing a survey"", SOEN, 2002.",https://doi.org/10.1145/566493.566495,1,Extraction successful
"Natalia Juristo Juzgado, A. Moreno, ""Basics of Software Engineering Experimentation"", Springer US, 2010.",https://doi.org/10.1007/978-1-4757-3304-4,1,Extraction successful
"D. Perry, A. Porter, L. Votta, ""Empirical studies of software engineering: a roadmap"", ICSE '00, 2000.",https://doi.org/10.1145/336512.336586,1,Extraction successful
