Title,Abstract,Relevance
Structuring automotive product lines and feature models: an exploratory study at Opel,"Automotive systems are highly complex and customized systems containing a vast amount of variability. Feature modeling plays a key role in customization. Empirical evidence through industry application, and in particular methodological guidance of how to structure automotive product lines and their feature models is needed. The overall aim of this work is to provide guidance to practitioners how to structure automotive product lines and their feature models, understanding strengths and weaknesses of alternative structures. The research was conducted in three phases. In the first phase, the context situation was understood using interviews and workshops. In the second phase, possible structures of product lines and feature models were evaluated based on industry feedback collected in workshops. In the third phase, the structures were implemented in the tool GEARS and practitioner feedback was collected. One key challenge was the unavailability of structuring guidelines, which was the focus of this research. The structures considered most suitable for the automotive product line were multiple product lines with modular decomposition. The structures most suitable for the feature model were functional decomposition, using context variability, models corresponding to assets, and feature categories. Other structures have been discarded, and the rationales have been presented. It was possible to support the most suitable structures with the commercial tool GEARS. The implementation in GEARS and the feedback from the practitioners provide early indications for the potential usefulness of the structures and the tool implementation.",0
Using Scrum in Outsourced Government Projects: An Action Research,"The growth in popularity of Agile methods plus a dissatisfaction of Government agencies with traditional software development methods have stimulated the adoption of Agile Methods. The action research approach was used in this work to assess the implementation of a process for the Management of Agile Development Demands - whose original acronym in Portuguese is 'GeDDAS' - for a software factory in a Brazilian Federal Government Organisation. There, two-action research cycles were done with two pilot projects. The work of action research was effective and contributed to the successful outcome of the initiative. The implementation of agile approaches in a public organisation is slow and complex affair mainly due to the interferences made in the working environment of the companies involved and to a high staff turnover. In the end, the difficulties found and lessons learned in the process, as well as the results achieved are presented.",0
Interventions for Software Security: Creating a Lightweight Program of Assurance Techniques for Developers,"Though some software development teams are highly effective at delivering security, others either do not care or do not have access to security experts to teach them how. Unfortunately, these latter teams are still responsible for the security of the systems they build: systems that are ever more important to ever more people. We propose that a series of lightweight in-terventions, six hours of facilitated workshops delivered over three months, can improve a team's motivation to consider security and awareness of assurance techniques, changing its security culture even when no security experts are involved. The interventions were developed after an Appreciative Inquiry and Grounded Theory survey of security professionals to find out what approaches work best. They were then validated in fieldwork with a Participatory Action Research study that de-livered the workshops to three development organizations. This approach has the potential to be applied by many development teams, improving the security of software worldwide.",0
Sustainability analysis and ease of learning in artifact-based requirements engineering: The newest member of the family of studies (It?s a girl!),"Context: Artifact-based requirements engineering promises to deliver results of high quality while allowing for flexibility in the development process and the project settings. Tailored for analyzing sustainability, it can offer tangible insights on potential benefits and risks of a system under development. However, as of now there is still relatively little empirical evidence available that would prove this quality, flexibility, and insight potential. Previous studies, specifically on the first two characteristics, differ in their socio-economic contexts and make the findings hard to generalize. Objective: Our goal is to investigate the advantages and limitations in the application of artifact-based requirements engineering by new, inexperienced requirements engineers to extend our family of studies. In addition, the secondary goal is to evaluate the suitability of the sustainability analysis artifact for a sustainability analysis of the system planned for development. Method: We report on a new member in a family of studies with 20 participants for evaluating artifact models in a sustainability application context. We use a graduate block course as case. Our data collection is performed via survey at the end of the course, based on the same instrument used in previous studies, and extended with a new section on evaluating the suitability of a particular artifact for sustainability analysis. Results: Both from the quantitative and the qualitative feedback, the results indicate that the students have benefitted from the artifact-based approach to analyzing sustainability in requirements engineering. Usability, syntactic and semantic quality were all rated high and the rationales were positive, as was the feedback on the sustainability analysis artifact. Conclusion: The results contribute to a reliable database on artifact-oriented requirements engineering and strengthen our confidence in the general benefits of artifact-orientation. Relating the old and new data provides some more insight into the trajectory of the wider transfer of artifact-based requirements engineering into practice.",0
Light-Touch Interventions to Improve Software Development Security,"Many software developers still have little interest in software security. To change this, we need 'interventions' to development teams to motivate and help them towards security improvement. An intervention costing less than two days' effort from a facilitator plus half a day of team effort can significantly improve that team's software security. This case study describes how this approach was used with one commercial team, and identifies its impact using Participative Action Research. With suitable improvements, the approach has the potential to help many other development teams.",0
Academic and Industrial Software Testing Conferences: Survey and Synergies,"Just as with any other profession, an efficient way to exchange ideas and networking in software testing are conferences, workshops and similar events. This is true for both professional testers and researchers working in the testing area. However, these two groups usually look for different kinds of events: a tester likes to attend 'industrial' (sometimes called practitioner's or user) conferences, whereas a researcher is more likely interested in 'academic' (in other words scientific or research) conferences. Although there are notable exceptions, this separation is substantial, which hinders a successful academy-industry collaboration, and communication about the demand and supply of research in software testing. This paper reviews 101 conferences: two thirds are academic ones, the rest being industrial. Besides providing this reasonably comprehensive list, we analyze any visible synergies such as events that have a mixed Program Committee and offer a program with elements from both sides. We found only a handful of such events, but these can serve both as opportunities for attendees who wish to extend their perspectives and as models for organizers of future conferences.",0
Applying Data Analytics towards Optimized Issue Management: An Industrial Case Study,"This document describes our experience of applying data analytics at Plexina, a leading IT company working in the healthcare domain. The main goal of the project was to identify factors currently affecting issue management and to make analytics based suggestions for optimizing the process. Various statistical and machine learning techniques were applied on a data set extracted from six releases of Plexina, containing more than 666 issues. Statistical techniques successfully identified the various factors that leads to estimation inaccuracy related to issues as well as identified the hidden relationships existing among various variables. The employed predictive analytic models was also successful to some extent, in predicting effort estimation related inaccuracy associated with the issues. The insights provided by the entire data analytics study can be of great help to product managers or the developers to make more informed decisions. In addition, the guidelines presented in this paper based on the lessons learnt can be applied to other data analytics and academia-industry collaboration project.",0
Case Studies of Industry-Academia Research Collaborations for Software Development with Agile,"Successful industry-academia research collaborations (IARCs) in the software development area can be challenging. The literature identifies best practices in IARCs along with process frameworks with the aim of ensuring successful outcomes for both industry and academia, namely: funding opportunities for universities, training and employment possibilities for students, new knowledge leading to innovative products for industry, and on-time delivery of software benefiting the economy, the institution, and the community. This paper shows ways in which core principles of the project management approach, Agile, and the Scrum framework have been applied and have led to the success of three IARCs. In addition to IARCs' common challenges, these case studies represented additional challenges as they were short-term software development projects accomplished by small geographically distributed teams. A report of the demographic, collaboration setting, and challenges, along with the lessons learned from the application of Agile and Scrum in these case studies will contribute to the body of knowledge in the field of IARCs. Using a qualitative and quantitative approach, five Agile/Scrum aspects for each project are assessed: product ownership, release, sprint, team, and technical health. Findings indicate several success factors directly linked to the application of the Agile principles and the Scrum framework. Specifically, early and frequent customer-centric software delivery, constant communications, responsiveness to change, and highly motivated individuals were key in terms of realizing the positive outcomes in spite of the obstacles inherent to IARCs. Cautions to this approach when applied in IARCs are reported along with solutions.",0
Wide Band Patch Antenna Structures for Cognitive Radio Applications,"The growing demand for the wireless connectivity has insisted a new communication technique to exploit the usage of spectrum in an efficient way. Many Techniques including Cognitive Radio (CR) technology provides the capability to share the spectrum and provides the high band width to the users by using dynamic access techniques. These techniques allow unlicensed secondary users to access the licensed spectrum without any disturbance. A special antenna is required in Cognitive Radio applications for spectrum sensing and communicating. Wide Band antennas are being considered as the most suitable structures for spectrum sensing applications and are perfectly suitable these environments. In this paper, an attempt is made to present the design of simple patch antenna structures by using circular, semi-circular, Semi-circular triangle shaped, semi-circular crown shaped antennas for achieving the wide band characteristics. These structures were analyzed theoretically and the simulation was done by using CST Microwave Studio Suite. All the structures were fabricated and analyzed in between 1-18 GHz frequency range on RT-Duroid substrate. It is found that these Structures achieve an enhanced impedance bandwidth over the frequency ranges other than Ultra Wide Band (UWB) range and up to Ku Band.",0
Interventions for long-term software security: Creating a lightweight program of assurance techniques for developers,"Summary Though some software development teams are highly effective at delivering security, others either do not care or do not have access to security experts to teach them how. Unfortunately, these latter teams are still responsible for the security of the systems they build: systems that are ever more important to ever more people. We propose that a series of lightweight interventions, six hours of facilitated workshops delivered over three months, can improve a team's motivation to consider security and awareness of assurance techniques, changing its security culture even when no security experts are involved. The interventions were developed after an Appreciative Inquiry and Grounded Theory survey of security professionals to find out what approaches work best. We tested the interventions in a participatory action research field study where we delivered the workshops to three software development organizations and evaluated their effectiveness through interviews beforehand, immediately afterwards, and after twelve months. We found that the interventions can be effective with teams with limited or no security experience and that improvement is long-lasting. This approach and the learning points arising from the work here have the potential to be applied in many development teams, improving the security of software worldwide.",0
