Title,Abstract,Relevance,Merged,Predicted,,,Legend,,
Protocol and tools for conducting agile software engineering research in an industrial-academic setting,"Conducting empirical research in software engineering industry is a process, and as such, it should be generalizable. The aim of this paper is to discuss how academic researchers may address some of the challenges they encounter during conducting empirical research in the software industry by means of a systematic and structured approach. The protocol developed in this paper should serve as a practical guide for researchers and help them with conducting empirical research in this complex environment.",1,"Protocol and tools for conducting agile software engineering research in an industrial-academic settingConducting empirical research in software engineering industry is a process, and as such, it should be generalizable. The aim of this paper is to discuss how academic researchers may address some of the challenges they encounter during conducting empirical research in the software industry by means of a systematic and structured approach. The protocol developed in this paper should serve as a practical guide for researchers and help them with conducting empirical research in this complex environment.",1,, ,Relevance,Predicted,Result
Industry{\textendash}academia collaborations in software testing: experience and success stories from Canada and Turkey, ,1,Industry{\textendash}academia collaborations in software testing: experience and success stories from Canada and Turkey ,1,,,1,1,True Positive
Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature review,"Context: The global software industry and the software engineering (SE) academia are two large communities. However, unfortunately, the level of joint industry-academia collaborations in SE is still relatively very low, compared to the amount of activity in each of the two communities. It seems that the two ’camps’ show only limited interest/motivation to collaborate with one other. Many researchers and practitioners have written about the challenges, success patterns (what to do, i.e., how to collaborate) and anti-patterns (what not do do) for industry-academia collaborations.",0,"Challenges and best practices in industry-academia collaborations in software engineering: A systematic literature reviewContext: The global software industry and the software engineering (SE) academia are two large communities. However, unfortunately, the level of joint industry-academia collaborations in SE is still relatively very low, compared to the amount of activity in each of the two communities. It seems that the two ’camps’ show only limited interest/motivation to collaborate with one other. Many researchers and practitioners have written about the challenges, success patterns (what to do, i.e., how to collaborate) and anti-patterns (what not do do) for industry-academia collaborations.",1,,,0,1,False Positive
Characterizing industry-academia collaborations in software engineering: evidence from 101 projects, ,1,Characterizing industry-academia collaborations in software engineering: evidence from 101 projects ,1,,,,,
Case Studies of Industry-Academia Research Collaborations for Software Development with Agile, ,0,Case Studies of Industry-Academia Research Collaborations for Software Development with Agile ,1,,,,,
Industry-Academia research collaboration in software engineering: The Certus model, ,1,Industry-Academia research collaboration in software engineering: The Certus model ,1,,,,,
A Researcher's Experiences in Supporting Industrial Software Process Improvement,"Industry–academia collaboration in software engineering is essential for the relevance of research, as research may make important contributions to the improvement of software engineering. Thus, software engineering researchers are an asset in software process improvement. In this chapter, I present different experiences of being an embedded researcher in industry contributing to software process improvement. The process improvement works were focused on helping organizations to move from plan-driven processes to agile and lean processes. We will elaborate on the challenges, essential practices, and related benefits that were observed when working closely with industry in the role of embedded researchers. Supporting examples from different published cases form the basis for this experience report.",1,"A Researcher's Experiences in Supporting Industrial Software Process ImprovementIndustry–academia collaboration in software engineering is essential for the relevance of research, as research may make important contributions to the improvement of software engineering. Thus, software engineering researchers are an asset in software process improvement. In this chapter, I present different experiences of being an embedded researcher in industry contributing to software process improvement. The process improvement works were focused on helping organizations to move from plan-driven processes to agile and lean processes. We will elaborate on the challenges, essential practices, and related benefits that were observed when working closely with industry in the role of embedded researchers. Supporting examples from different published cases form the basis for this experience report.",1,,,,,
Guiding the selection of research methodology in industry{\textendash}academia collaboration in software engineering, ,1,Guiding the selection of research methodology in industry{\textendash}academia collaboration in software engineering ,1,,,,,
A proposal for using design science in small-scale postgraduate research projects in information technology,Design science is a research paradigm where the development and evaluation of an artefact is a key contribution. Design science is used in many domains and this paper draws on those domains to formulate a generic structure for design science research suitable for small-scale postgraduate information technology research projects. The paper includes guidelines for writing proposals and a generic research report structure. The paper presents ethical issues to consider in design science research and contributes guidelines for assessment.,0,A proposal for using design science in small-scale postgraduate research projects in information technologyDesign science is a research paradigm where the development and evaluation of an artefact is a key contribution. Design science is used in many domains and this paper draws on those domains to formulate a generic structure for design science research suitable for small-scale postgraduate information technology research projects. The paper includes guidelines for writing proposals and a generic research report structure. The paper presents ethical issues to consider in design science research and contributes guidelines for assessment.,1,,,,,
Challenges of Structured Reuse Adoption {\textemdash} Lessons Learned,"Adoption of structured reuse approaches in practice often poses multiple challenges. Research-industry collaborations are considered as suitable vehicle to mitigate adoption difficulties as well as to validate the applicability of scientific results. However, research cooperations with industry do not always live up to the expectations of either of the partners. Unfortunately for researchers and practitioners alike, insights behind the scenes of failed adoption and cooperation are often difficult to obtain. This hinders discussions on lessons learned by organizations during the adoption process and delays improvements. This paper aims to mitigate this issue by presenting lessons learned from interviews we conducted with practitioners in the context of a study on software reuse in industry. The study covered a wide range of aspects, including the process of reuse adoption. One of the participating companies had undertaken two attempts to adopt a form of structured reuse. However, both attempts did not succeed as expected. In our study, we identified tacit assumptions that were related to the encountered difficulties and present the lessons learned from the adoption approach. Furthermore , we report strategies that helped us to overcome the skepticism caused by a previous unsuccessful guided collaboration.",0,"Challenges of Structured Reuse Adoption {\textemdash} Lessons LearnedAdoption of structured reuse approaches in practice often poses multiple challenges. Research-industry collaborations are considered as suitable vehicle to mitigate adoption difficulties as well as to validate the applicability of scientific results. However, research cooperations with industry do not always live up to the expectations of either of the partners. Unfortunately for researchers and practitioners alike, insights behind the scenes of failed adoption and cooperation are often difficult to obtain. This hinders discussions on lessons learned by organizations during the adoption process and delays improvements. This paper aims to mitigate this issue by presenting lessons learned from interviews we conducted with practitioners in the context of a study on software reuse in industry. The study covered a wide range of aspects, including the process of reuse adoption. One of the participating companies had undertaken two attempts to adopt a form of structured reuse. However, both attempts did not succeed as expected. In our study, we identified tacit assumptions that were related to the encountered difficulties and present the lessons learned from the adoption approach. Furthermore , we report strategies that helped us to overcome the skepticism caused by a previous unsuccessful guided collaboration.",1,,,,,
