References,DOIS,Iteration,Status
"F. Lima, A. Burrows, Lídia Lemos, Priscila Lucena, Ricardo Pessoa, R. Jose, P. Trigueiros, ""An Industry-Academia, Multidisciplinary and Expertise-Heterogeneous Design Approach: A Case Study on Designing for Mobility"", Springer Series in Design and Innovation, 2021.",https://doi.org/10.1007/978-3-030-89735-2_23,1,Extraction successful
"Sergio Rico, E. Bjarnason, Emelie Engström, Martin Höst, P. Runeson, ""A case study of industry–academia communication in a joint software engineering research project"", J. Softw. Evol. Process., 2021.",https://doi.org/10.1002/smr.2372,1,Abstract not found
"V. Garousi, D. Shepherd, Kadir Herkiloglu, ""Successful Engagement of Practitioners and Software Engineering Researchers: Evidence From 26 International Industry–Academia Collaborative Projects"", IEEE Software, 2020.",https://doi.org/10.1109/MS.2019.2914663,1,Extraction successful
"Hennie Huijgens, Ayushi Rastogi, E. Mulders, Georgios Gousios, A. Deursen, ""Questions for data scientists in software engineering: a replication"", ESEC/SIGSOFT FSE, 2020.",https://doi.org/10.1145/3368089.3409717,1,Abstract not found
"V. Garousi, Markus Borg, M. Oivo, ""Practical relevance of software engineering research: synthesizing the community’s voice"", Empirical Software Engineering, 2018.",https://doi.org/10.1007/s10664-020-09803-0,1,Abstract not found
"Ayse Tosun Misirli, Muzamil Ahmed, Burak Turhan, Natalia Juristo Juzgado, ""On the effectiveness of unit tests in test-driven development"", ICSSP, 2018.",https://doi.org/10.1145/3202710.3203153,1,Abstract not found
"Sofia Sherman, I. Hadar, G. Luria, ""Leveraging organizational climate theory for understanding industry-academia collaboration"", Inf. Softw. Technol., 2017.",https://doi.org/10.1016/J.INFSOF.2017.12.006,1,Abstract not found
"Vladimir Ivanov, Alan Rogers, G. Succi, Jooyong Yi, V. Zorin, ""What do software engineers care about? gaps between research and practice"", ESEC/SIGSOFT FSE, 2017.",https://doi.org/10.1145/3106237.3117778,1,Extraction successful
"D. Fucci, H. Erdogmus, Burak Turhan, M. Oivo, Natalia Juristo Juzgado, ""A Dissection of the Test-Driven Development Process: Does It Really Matter to Test-First or to Test-Last?"", IEEE Transactions on Software Engineering, 2016.",https://doi.org/10.1109/TSE.2016.2616877,1,Extraction successful
"V. Garousi, M. M. Eskandar, Kadir Herkiloglu, ""Industry–academia collaborations in software testing: experience and success stories from Canada and Turkey"", Software Quality Journal, 2017.",https://doi.org/10.1007/s11219-016-9319-5,1,Abstract not found
