References,DOIS,Iteration,Status
"M. Shaw, ""The coming-of-age of software architecture research"", Proceedings of the 23rd International Conference on Software Engineering. ICSE 2001, 2001.",https://doi.org/10.1109/ICSE.2001.919142,1.0,Extraction successful
"I. Bate, A. Burns, ""An approach to task attribute assignment for uniprocessor systems"", Proceedings of 11th Euromicro Conference on Real-Time Systems. Euromicro RTS'99, 1999.",https://doi.org/10.1109/EMRTS.1999.777449,1.0,Extraction successful
"J. Scholtz, ""Technology transfer through prototypes"", CACM, 1996.",https://doi.org/10.1145/234215.234464,1.0,Extraction successful
"J. Bennett, ""Building relationships for technology transfer"", CACM, 1996.",https://doi.org/10.1145/234215.234468,1.0,Extraction successful
"M. Dalziel, ""Effective university-industry technology transfer"", 1994 Proceedings of Canadian Conference on Electrical and Computer Engineering, 1994.",https://doi.org/10.1109/CCECE.1994.405858,1.0,Extraction successful
"Y. Lee, R. Gaertner, ""Technology Transfer from University to Industry"", , 1994.",https://doi.org/10.1111/J.1541-0072.1994.TB01476.X,1.0,Extraction successful
"V. Basili, G. Caldiera, H. D. Rombach, ""THE EXPERIENCE FACTORY"", , 1999.",https://doi.org/10.1002/0471028959.sof110,1.0,Extraction successful
"H. D. Rombach, V. Basili, R. Selby, ""Experimental Software Engineering Issues: Critical Assessment and Future Directions"", Lecture Notes in Computer Science, 1993.",https://doi.org/10.1007/3-540-57092-6,1.0,Extraction successful
"B. Freimut, Brigitte Klein, O. Laitenberger, G. Ruhe, ""Measurable Software Quality Improvement through Innovative Software Inspection Technologies at Allianz Life Assurance"", , 2001.",No doi,1.0,DOI not found
"T. Arias, P. America, P. Avgeriou, ""Defining execution viewpoints for a large and complex software-intensive system"", 2009 Joint Working IEEE/IFIP Conference on Software Architecture & European Conference on Software Architecture, 2009.",https://doi.org/10.1109/WICSA.2009.5290784,1.0,Extraction successful
"A. Barbolla, J. Corredera, ""Critical factors for success in university–industry research projects"", , 2009.",https://doi.org/10.1080/09537320902969133,1.0,Extraction successful
"T. Punter, R. Krikhaar, R. J. Bril, ""Software engineering technology innovation - Turning research results into industrial success"", J. Syst. Softw., 2009.",https://doi.org/10.1016/j.jss.2008.12.035,1.0,Abstract not found
"M. Perkmann, K. Walsh, ""The Two Faces of Collaboration: Impacts of University-Industry Relations on Public Research"", , 2009.",https://doi.org/10.1093/ICC/DTP015,1.0,Extraction successful
"Rna Rudi Bekkers, I. B. Freitas, ""Analysing knowledge transfer channels between universities and industry: To what degree do sectors also matter?"", , 2008.",https://doi.org/10.1016/J.RESPOL.2008.07.007,1.0,Extraction successful
"T. Pressburger, B. Di Vito, M. Feather, M. Hinchey, L. Markosian, L.C. Trevino, ""Infusing software assurance research techniques into use"", 2006 IEEE Aerospace Conference, 2006.",https://doi.org/10.1109/AERO.2006.1656014,1.0,Extraction successful
"Jeffrey Cummings, Bing-Sheng Teng, ""Transferring R&D Knowledge : the Key Factors Affecting Knowledge Transfer Success"", , 2003.",https://doi.org/10.1016/S0923-4748(03)00004-3,1.0,Extraction successful
"C. Potts, ""Software-engineering research revisited"", IEEE Software, 1993.",https://doi.org/10.1109/52.232392,1.0,Extraction successful
"P. V. D. Laar, ""Observations from the Industry-as-Laboratory Research Project Darwin 1"", , 2010.",No doi,1.0,DOI not found
"R. Mathijssen, ""Trader : reliability of high-volume consumer products:a collaborative research project on the reliability of complex embedded systems"", , 2009.",No doi,1.0,DOI not found
"M. Heemels, G. Muller, ""Boderc: Model-based design of high-tech systems : A collaborative research project for multi-disciplinary design analysis of high-tech systems"", , 2007.",No doi,1.0,DOI not found
"R. Engelen, Jpm Jeroen Voeten, ""Ideals : evolvability of software-intensive high-tech systems : a collaborative research project on maintaining complex embedded systems"", , 2007.",No doi,1.0,DOI not found
