References,DOIS,Iteration,Status
"R. Cameron, ""Advanced Filter Synthesis"", IEEE Microwave Magazine, 2011.",https://doi.org/10.1109/MMM.2011.942007,1.0,Extraction successful
"A. Lamecki, P. Kozakowski, M. Mrozowski, ""Fast synthesis of coupled-resonator filters"", IEEE Microwave and Wireless Components Letters, 2004.",https://doi.org/10.1109/LMWC.2004.827111,1.0,Extraction successful
"V. Miraftab, Ming Yu, ""Advanced Coupling Matrix and Admittance Function Synthesis Techniques for Dissipative Microwave Filters"", IEEE Transactions on Microwave Theory and Techniques, 2009.",https://doi.org/10.1109/TMTT.2009.2029625,1.0,Extraction successful
"R. Cameron, ""General coupling matrix synthesis methods for Chebyshev filtering functions"", , 1999.",https://doi.org/10.1109/22.754877,1.0,Extraction successful
"H. C. Bell, ""Canonical Asymetric Coupled-Resonator Filters"", , 1982.",https://doi.org/10.1109/TMTT.1982.1131257,1.0,Extraction successful
"A. Atia, A. Williams, R. Newcomb, ""Narrow-band multiple-coupled cavity synthesis"", , 1974.",https://doi.org/10.1109/TCS.1974.1083913,1.0,Extraction successful
"J. Rhodes, S. Alseyab, ""The generalized chebyshev low-pass prototype filter"", , 1980.",https://doi.org/10.1002/CTA.4490080205,1.0,Extraction successful
"A. Atia, A. E. Williams, ""Narrow-Bandpass Waveguide Filters"", , 1972.",https://doi.org/10.1109/TMTT.1972.1127732,1.0,Extraction successful
"J. Rhodes, ""A Low-Pass Prototype Network for Microwave Linear Phase Filters"", , 1970.",https://doi.org/10.1109/TMTT.1970.1127222,1.0,Extraction successful
"R. Cameron, ""Fast generation of Chebyshev filter prototypes with asymmetrically-prescribed transmission zeros"", , 1982.",No doi,2.0,DOI not found
"Van Valkenburg, ""Introduction to Modern Network Synthesis"", , 1960.",No doi,2.0,DOI not found
"R. Cameron, ""A novel realisation for microwave bandpass filters"", , 1979.",No doi,1.0,Extraction successful
"M. Chen, ""Singly terminated pseudo-elliptic function filter"", , 1977.",No doi,2.0,DOI not found
"A. Lamecki, P. Kozakowski, M. Mrozowski, ""Fast synthesis of coupled-resonator filters"", IEEE Microwave and Wireless Components Letters, 2004.",https://doi.org/10.1109/TMTT.2015.2450733,1.0,Done already
"R. Cameron, ""Advanced coupling matrix synthesis techniques for microwave filters"", , 2003.",https://doi.org/10.1109/TMTT.2002.806937,1.0,Extraction successful
"G. Macchiarella, ""Synthesis of prototype filters with triplet sections starting from source and load"", IEEE Microwave and Wireless Components Letters, 2002.",https://doi.org/10.1109/7260.982871,2.0,Extraction successful
"M. Chu, G. Golub, ""Structured inverse eigenvalue problems"", Acta Numerica, 2002.",https://doi.org/10.1017/S0962492902000016,1.0,Extraction successful
"A. Atia, A. E. Williams, ""Narrow-Bandpass Waveguide Filters"", , 1972.",https://doi.org/10.1080/10724117.2006.11974674,1.0,Abstract not found
"R. Cameron, A. Harish, C. Radcliffe, ""Synthesis of advanced microwave filters without diagonal cross-couplings"", 2002 IEEE MTT-S International Microwave Symposium Digest (Cat. No.02CH37278), 2002.",https://doi.org/10.1109/MWSYM.2002.1012125,1.0,DOI not found
"S. Bila, D. Baillargeat, M. Aubourg, S. Verdeyme, P. Guillon, F. Seyfert, J. Grimm, L. Baratchart, C. Zanchi, J. Sombrin, ""Direct electromagnetic optimization of microwave filters"", , 2001.",https://doi.org/10.1109/6668.918262,2.0,Extraction successful
"J. R. Montejo-Garai, ""Synthesis of N-even order symmetric filters with N transmission zeros by means of source-load cross coupling"", , 2000.",https://doi.org/10.1049/EL:20000242,1.0,Done already
"S. Amari, U. Rosenberg, J. Bornemann, ""Adaptive synthesis and design of resonator filters with source/load-multiresonator coupling"", , 2002.",https://doi.org/10.1109/TMTT.2002.801348,2.0,Extraction successful
"S. Amari, ""On the maximum number of finite transmission zeros of coupled resonator filters with a given topology"", , 1999.",https://doi.org/10.1109/75.790472,2.0,Extraction successful
"H. B. Nielsen, ""DAMPING PARAMETER IN MARQUARDT ’ S METHOD"", , 1999.",No doi,1.0,Extraction successful
"R. Cameron, ""General coupling matrix synthesis methods for Chebyshev filtering functions"", , 1999.",https://doi.org/10.1109/ACCESS.2021.3074151,1.0,Extraction successful
"H. C. Bell, ""Canonical Asymetric Coupled-Resonator Filters"", , 1982.",https://doi.org/10.1016/j.jclepro.2020.122808,1.0,Extraction successful
"V. Pommier, D. Cros, P. Guillon, A. Carlier, E. Rogeaux, ""Transversal filter using whispering gallery quarter cut resonators"", 2000 IEEE MTT-S International Microwave Symposium Digest (Cat. No.00CH37017), 2000.",https://doi.org/10.1109/MWSYM.2000.862324,1.0,Extraction successful
"R. Collin, ""Foundations for microwave engineering"", , 1966.",https://doi.org/10.1109/9780470544662,1.0,Extraction successful
