References,Status
"F. C. Chang, ""Inverse and determinant of a square matrix by order expansion and condensation [EM programmer’s notebook]"", IEEE Trans. Antennas Propag, vol. 57, pp. 28-32, Feb. 2015.Show in Context CrossRef  Google Scholar ",Extraction successful
"A. Salihu, ""
            New method to calculate determinants of n
            
              times 
            
            n(n≥3) matrix by reducing determinants to 2nd order
          "", Int. J. Algebra, vol. 6, no. 19, pp. 913-917, Apr. 2012.Show in Context Google Scholar ",DOI not found
"A. E. Atia and A. E. Williams, ""New types of bandpass filters for satellite transponders"", COMSAT Tech. Rev., vol. 1, pp. 21-43, 1971.Show in Context Google Scholar ",DOI not found
"R. J. Cameron, ""General coupling matrix synthesis methods for Chebyshev filtering functions"", IEEE Trans. Microw. Theory Techn., vol. 47, no. 4, pp. 433-442, Apr. 1999.Show in Context View Article  Google Scholar ",Extraction successful
"J. R. Montejo-Garai, ""Synthesis of N-even order symmetric filters with N transmission zeros by means of source-load cross coupling"", Electron. Lett., vol. 36, no. 3, pp. 232-233, Feb. 2000.Show in Context CrossRef  Google Scholar ",Extraction successful
"R. J. Cameron, ""Advanced coupling matrix synthesis techniques for microwave filters"", IEEE Trans. Microw. Theory Techn., vol. 51, no. 1, pp. 1-10, Jan. 2003.Show in Context View Article  Google Scholar ",Extraction successful
"V. Miraftab and M. Yu, ""Advanced coupling matrix and admittance function synthesis techniques for dissipative microwave filters"", IEEE Trans. Microw. Theory Techn., vol. 57, no. 10, pp. 2429-2438, Oct. 2009.Show in Context CrossRef  Google Scholar ",Extraction successful
"R. J. Cameron, ""Advanced filter synthesis"", IEEE Microw. Mag., vol. 12, no. 6, pp. 42-61, Oct. 2011.Show in Context View Article  Google Scholar ",DOI not found
"A. A. Muller, J. F. Favennec and E. Sanabria-Codesal, ""Coupling matrix filter synthesis based on reflection matrices"", Proc. Asia-Pacific Microw. Conf., pp. 613-615, Dec. 2015.Show in Context CrossRef  Google Scholar ",Extraction successful
"A. C. Guyette, I. C. Hunter and R. D. Pollard, ""
            The design of microwave bandpass filters using resonators with nonuniform
            Q
          "", IEEE Trans. Microw. Theory Techn., vol. 54, no. 11, pp. 3914-3922, Nov. 2006.Show in Context View Article  Google Scholar ",Extraction successful
"R. V. Snyder, A. Mortazawi, I. Hunter, S. Bastioli, G. Macchiarella and K. Wu, ""Present and future trends in filters and multiplexers"", IEEE Trans. Microw. Theory Techn., vol. 63, no. 10, pp. 3324-3360, Oct. 2015.Show in Context View Article  Google Scholar ",Extraction successful
"A. A. Muller, A. Moldoveanu, V. Asavei, E. Sanabria-Codesal and J. F. Favennec, ""Lossy coupling matrix filter synthesis based on hyperbolic reflections"", IEEE MTT-S Int. Microw. Symp. Dig., pp. 1-4, May 2016.Show in Context CrossRef  Google Scholar ",Extraction successful
"P. Kozakowski, A. Lamecki, P. Sypek and M. Mrozowski, ""Eigenvalue approach to synthesis of prototype filters with source/load coupling"", IEEE Microw. Wireless Compon. Lett., vol. 15, no. 2, pp. 98-100, Feb. 2005.Show in Context View Article  Google Scholar ",Extraction successful
"L. Szydlowski, A. Lamecki and M. Mrozowski, ""Synthesis of coupled-lossy resonator filters"", IEEE Microw. Wireless Compon. Lett., vol. 20, no. 7, pp. 366-368, Jul. 2010.Show in Context View Article  Google Scholar ",Extraction successful
"R. J. Cameron, C. M. Kudsia and R. R. Mansour, Microwave Filters for Communication Systems: Fundamentals Design and Applications, Hoboken, NJ, USA:Wiley, 2007.Show in Context Google Scholar ",Extraction successful
"A. Lamecki, P. Kozakowski and M. Mrozowski, ""Fast synthesis of coupled-resonator filters"", IEEE Microw. Wireless Compon. Lett., vol. 14, no. 4, pp. 174-176, Apr. 2004.Show in Context View Article  Google Scholar ",Extraction successful
"H. Hui and K.-L. Wu, ""A generalized coupling matrix extraction technique for bandpass filters with uneven-Qs"", IEEE Trans. Microw. Theory Techn., vol. 62, no. 2, pp. 244-251, Feb. 2014.Show in Context View Article  Google Scholar ",Extraction successful
 [online]  Available: http://www.mathematica.com.Show in Context,DOI not found
"A. Jedrzejewski, L. Szydlowski and A. Lamecki, ""Comparison of optimization techniques for coupling matrix synthesis using eigenvalue based approach"", Proc. Int. Conf. Microw. Radar Wireless Commun., pp. 471-475, May 2012.Show in Context CrossRef  Google Scholar ",Extraction successful
"M. Meng, ""Design and synthesis of lossy microwave filters"", 2014.Show in Context Google Scholar ",DOI not found
"A. G. Lamperez, M. Salazar-Palma, M. J. Padilla-Cruz and I. H. Carpintero, ""Synthesis of cross-coupled lossy resonator filters with multiple input/output couplings by gradient optimization"", Proc. IEEE APS Int. Symp., vol. 2, pp. 52-55, Jun. 2003.Show in Context CrossRef  Google Scholar ",Extraction successful
"Q. Zhang, T. Guo, B. A. Khan, T. Kodera and C. Caloz, ""Coupling matrix synthesis of nonreciprocal lossless two-port networks using gyrators and inverters"", IEEE Trans. Microw. Theory Techn., vol. 63, no. 9, pp. 2782-2793, Sep. 2015.Show in Context View Article  Google Scholar ",Extraction successful
"A. Rice and E. Torrence, ""Lewis Carroll’s condensation method for evaluating determinants"", Math. Horizons, pp. 12-15, Nov. 2006.Show in Context Google Scholar ",Abstract not found
