References,DOIS,Iteration,Status
"R. Cameron, ""Advanced Filter Synthesis"", IEEE Microwave Magazine, 2011.",https://doi.org/10.1109/MMM.2011.942007,1.0,Extraction successful
"A. Lamecki, P. Kozakowski, M. Mrozowski, ""Fast synthesis of coupled-resonator filters"", IEEE Microwave and Wireless Components Letters, 2004.",https://doi.org/10.1109/LMWC.2004.827111,1.0,Extraction successful
"V. Miraftab, Ming Yu, ""Advanced Coupling Matrix and Admittance Function Synthesis Techniques for Dissipative Microwave Filters"", IEEE Transactions on Microwave Theory and Techniques, 2009.",https://doi.org/10.1109/TMTT.2009.2029625,1.0,Extraction successful
"R. Cameron, ""General coupling matrix synthesis methods for Chebyshev filtering functions"", , 1999.",https://doi.org/10.1109/22.754877,1.0,Extraction successful
"P. Kozakowski, A. Lamecki, P. Sypek, M. Mrozowski, ""Eigenvalue approach to synthesis of prototype filters with source/load coupling"", IEEE Microwave and Wireless Components Letters, 2005.",https://doi.org/10.1109/LMWC.2004.842838,1.0,Extraction successful
"R. Cameron, ""Advanced coupling matrix synthesis techniques for microwave filters"", , 2003.",https://doi.org/10.1109/TMTT.2002.806937,1.0,Extraction successful
"A. Muller, J. Favennec, E. Sanabria-Codesal, ""Coupling matrix filter synthesis based on reflection matrices"", 2015 Asia-Pacific Microwave Conference (APMC), 2015.",https://doi.org/10.1109/APMC.2015.7411795,1.0,Extraction successful
"R. Snyder, A. Mortazawi, I. Hunter, S. Bastioli, G. Macchiarella, Ke Wu, ""Present and Future Trends in Filters and Multiplexers"", IEEE Transactions on Microwave Theory and Techniques, 2015.",https://doi.org/10.1109/TMTT.2015.2475245,1.0,Extraction successful
"F. Chang, ""Inverse and Determinant of a Square Matrix by Order Expansion and Condensation [EM Programmer's Notebook]"", IEEE Antennas and Propagation Magazine, 2015.",https://doi.org/10.1109/MAP.2015.2401792,1.0,Extraction successful
"A. Guyette, I. Hunter, R. Pollard, ""The Design of Microwave Bandpass Filters Using Resonators With Nonuniform$ Q$"", IEEE Transactions on Microwave Theory and Techniques, 2006.",https://doi.org/10.1109/TMTT.2006.884627,1.0,Extraction successful
"A. Muller, A. Moldoveanu, V. Asavei, E. Sanabria-Codesal, J. Favennec, ""Lossy coupling matrix filter synthesis based on hyperbolic reflections"", 2016 IEEE MTT-S International Microwave Symposium (IMS), 2016.",https://doi.org/10.1109/MWSYM.2016.7540243,1.0,Extraction successful
"A. Lampérez, M. Salazar-Palma, M.J. Padilla-Cruz, I.H. Carpintero, ""Synthesis of cross-coupled lossy resonator filters with multiple input/output couplings by gradient optimization"", IEEE Antennas and Propagation Society International Symposium. Digest. Held in conjunction with: USNC/CNC/URSI North American Radio Sci. Meeting (Cat. No.03CH37450), 2003.",https://doi.org/10.1109/APS.2003.1219177,1.0,Extraction successful
"J. R. Montejo-Garai, ""Synthesis of N-even order symmetric filters with N transmission zeros by means of source-load cross coupling"", , 2000.",https://doi.org/10.1049/EL:20000242,1.0,Extraction successful
"Qingfeng Zhang, T. Guo, B. Khan, T. Kodera, C. Caloz, ""Coupling Matrix Synthesis of Nonreciprocal Lossless Two-Port Networks Using Gyrators and Inverters"", IEEE Transactions on Microwave Theory and Techniques, 2014.",https://doi.org/10.1109/TMTT.2015.2450733,1.0,Extraction successful
"A. Jedrzejewski, L. Szydlowski, A. Lamecki, ""Comparison of optimization techniques for coupling matrix synthesis using eigenvalue based approach"", 2012 19th International Conference on Microwaves, Radar & Wireless Communications, 2012.",https://doi.org/10.1109/MIKON.2012.6233576,1.0,Extraction successful
"Hai Hu, Ke-Li Wu, ""A Generalized Coupling Matrix Extraction Technique for Bandpass Filters With Uneven-Qs"", IEEE Transactions on Microwave Theory and Techniques, 2014.",https://doi.org/10.1109/TMTT.2013.2296744,1.0,Extraction successful
"L. Szydlowski, A. Lamecki, M. Mrozowski, ""Synthesis of Coupled-Lossy Resonator Filters"", IEEE Microwave and Wireless Components Letters, 2010.",https://doi.org/10.1109/LMWC.2010.2049424,1.0,Extraction successful
"A. Rice, Eve Torrence, ""Lewis Carroll's Condensation Method for Evaluating Determinants"", , 2006.",https://doi.org/10.1080/10724117.2006.11974674,1.0,Abstract not found
"Meng Meng, ""Design and synthesis of lossy microwave filters"", , 2014.",No doi,1.0,DOI not found
"R. Cameron, C. Kudsia, R. Mansour, ""Microwave Filters for Communication Systems: Fundamentals, Design and Applications"", , 2007.",https://doi.org/10.1002/9781119292371,1.0,Extraction successful
"A. Salihu, ""New Method to Calculate Determinants of n × n(n ≥ 3) Matrix, by Reducing Determinants to 2nd Order"", , 2012.",No doi,1.0,DOI not found
